id,intakereason,breedname,speciesname,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47755,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,04/22/2017,Adult,Adult,4,22,2017,3,27,2017
47755,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/12/2017,Adult,Adult,5,12,2017,3,27,2017
47756,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47756,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,04/21/2017,Adult,Adult,4,21,2017,3,27,2017
47756,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/09/2017,Adult,Adult,5,9,2017,3,27,2017
47757,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47757,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/09/2017,Adult,Adult,5,9,2017,3,27,2017
47759,Stray,Chihuahua/Mix,Dog,Female,Foster,03/27/2017,04/22/2017,Geriatric,Geriatric,4,22,2017,3,27,2017
47759,Stray,Chihuahua/Mix,Dog,Female,Adoption,03/27/2017,07/16/2017,Geriatric,Geriatric,7,16,2017,3,27,2017
47760,Abandoned,German Shepherd Dog,Dog,Male,Adoption,03/27/2017,04/02/2017,Adult,Adult,4,2,2017,3,27,2017
47762,Abandoned,Chihuahua,Dog,Female,Adoption,03/27/2017,05/19/2017,Mature,Mature,5,19,2017,3,27,2017
47763,Abandoned,DSH/Unknown,Cat,Female,Adoption,03/28/2017,04/08/2017,Mature,Senior,4,8,2017,3,28,2017
47764,Abandoned,Pitbull/Mix,Dog,Female,Adoption,03/28/2017,04/29/2017,Adult,Adult,4,29,2017,3,28,2017
47765,Abandoned,Weimaraner/Terrier,Dog,Male,Transfer,03/28/2017,04/19/2017,Adult,Adult,4,19,2017,3,28,2017
47766,Abandoned,Pit Bull Terrier,Dog,Male,Adoption,03/28/2017,05/03/2017,Adult,Adult,5,3,2017,3,28,2017
47766,Abandoned,Pit Bull Terrier,Dog,Male,Adoption,03/28/2017,05/25/2017,Adult,Adult,5,25,2017,3,28,2017
47767,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/28/2017,04/07/2017,Mature,Mature,4,7,2017,3,28,2017
47768,Abandoned,Domestic Medium Hair,Cat,Female,Adoption,03/28/2017,04/02/2017,Adult,Adult,4,2,2017,3,28,2017
47769,Abandoned,Chihuahua/Miniature Pinscher,Dog,Male,Adoption,03/28/2017,04/04/2017,Adult,Adult,4,4,2017,3,28,2017
47770,Abandoned,Rat Terrier/Mix,Dog,Female,Adoption,03/28/2017,04/04/2017,Mature,Senior,4,4,2017,3,28,2017
47770,Abandoned,Rat Terrier/Mix,Dog,Female,Adoption,03/28/2017,05/07/2017,Mature,Senior,5,7,2017,3,28,2017
47771,Abandoned,Rat Terrier/Beagle,Dog,Female,Adoption,03/28/2017,04/01/2017,Mature,Senior,4,1,2017,3,28,2017
47771,Abandoned,Rat Terrier/Beagle,Dog,Female,Adoption,03/28/2017,04/10/2017,Mature,Senior,4,10,2017,3,28,2017
55297,Owner Deceased,Domestic Short Hair,Cat,Male,Adoption,03/31/2017,04/07/2017,Senior,Geriatric,4,7,2017,3,31,2017
55297,Owner Deceased,Domestic Short Hair,Cat,Male,Adoption,03/31/2017,06/20/2017,Senior,Geriatric,6,20,2017,3,31,2017
55297,Owner Deceased,Domestic Short Hair,Cat,Male,Adoption,03/31/2017,08/13/2017,Senior,Geriatric,8,13,2017,3,31,2017
55298,Stray,Domestic Long Hair,Cat,Male,Adoption,03/31/2017,04/12/2017,Adult,Adult,4,12,2017,3,31,2017
55299,Stray,Domestic Short Hair,Cat,Female,Foster,03/31/2017,04/07/2017,Mature,Mature,4,7,2017,3,31,2017
