id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47685,Abandoned,Suzette,Domestic Short Hair,Tortoiseshell,Cat,19 years 3 months.,Female,Transfer,03/18/2017,05/14/2018,Geriatric,Geriatric,05,14,2018,03,18,2017
47688,Abandoned,Beyonce,Domestic Short Hair,Grey and White,Cat,4 years 5 months.,Female,Foster,03/18/2017,03/20/2017,Adult,Adult,03,20,2017,03,18,2017
47688,Abandoned,Beyonce,Domestic Short Hair,Grey and White,Cat,4 years 5 months.,Female,Adoption,03/18/2017,04/26/2017,Adult,Adult,04,26,2017,03,18,2017
47695,Abandoned,Earnest,Labrador Retriever/German Shepherd Dog,Black,Dog,3 years 10 months.,Male,Adoption,03/20/2017,03/31/2017,Adult,Adult,03,31,2017,03,20,2017
47696,Abandoned,Pepsi,Domestic Short Hair,Grey and White,Cat,4 years 3 months.,Male,Adoption,03/20/2017,04/07/2017,Adult,Adult,04,07,2017,03,20,2017
47697,Abandoned,William,Domestic Short Hair,Fawn,Cat,5 years 4 months.,Male,Adoption,03/21/2017,04/21/2017,Adult,Adult,04,21,2017,03,21,2017
47698,Stray,Amal Clooney,Domestic Short Hair,Black,Cat,6 years 7 months.,Female,Foster,03/21/2017,03/26/2017,Adult,Mature,03,26,2017,03,21,2017
47698,Stray,Amal Clooney,Domestic Short Hair,Black,Cat,6 years 7 months.,Female,Adoption,03/21/2017,06/21/2017,Adult,Mature,06,21,2017,03,21,2017
47702,Abandoned,Sadie,Boxer/Shep Mix,Brindle,Dog,10 years 3 months.,Female,Adoption,03/21/2017,04/08/2017,Mature,Senior,04,08,2017,03,21,2017
47703,Abandoned,Promise,Domestic Long Hair,Black,Cat,4 years 4 months.,Female,Foster,03/21/2017,04/08/2017,Adult,Adult,04,08,2017,03,21,2017
47703,Abandoned,Promise,Domestic Long Hair,Black,Cat,4 years 4 months.,Female,Adoption,03/21/2017,05/03/2017,Adult,Adult,05,03,2017,03,21,2017
47704,Abandoned,Charlie,Chihuahua/Mix,Red,Dog,3 years 10 months.,Male,Adoption,03/21/2017,04/12/2017,Adult,Adult,04,12,2017,03,21,2017
47707,Abandoned,Benji,DMH/DSH,Black,Cat,3 years 4 months.,Male,Foster,03/22/2017,04/06/2017,Adult,Adult,04,06,2017,03,22,2017
47707,Abandoned,Benji,DMH/DSH,Black,Cat,3 years 4 months.,Male,Adoption,03/22/2017,05/16/2017,Adult,Adult,05,16,2017,03,22,2017
47708,Abandoned,Simba,DMH/DSH,Black,Cat,3 years 4 months.,Male,Foster,03/22/2017,04/06/2017,Adult,Adult,04,06,2017,03,22,2017
47708,Abandoned,Simba,DMH/DSH,Black,Cat,3 years 4 months.,Male,Adoption,03/22/2017,05/23/2017,Adult,Adult,05,23,2017,03,22,2017
47710,Abandoned,Jayce,Pitbull,Blue,Dog,7 years 3 months.,Male,Reclaimed,03/22/2017,04/02/2017,Mature,Mature,04,02,2017,03,22,2017
